Id,Comments
@user-oo2tu9xd3x,이 노래에 잔나비라... 쉽지 않은 조합이군요 ㅋㅋㅋㅋ 이렇게 들으니깐 노래의 또 다른 매력을 느낄 수 있어서 좋네요 이 조합 찬성입니다 !! 좋은 영상 올려주셔서 감사합니다 즐감하고 갑니다이~
@haeun_-,와....직접 듣는것도 아니고 휴대폰 통해서 듣는데 몸에 힘이 들어가게하네.... 이게 진짜 가수다....
@user-zy4tw3bp1q,팝도 이렇게 잘 소화해내는 멋진 잔나비.. 진짜 대단하고 잔나비를 알게된게 아주 자랑스럽고 가장 잘한일인것 같다. 롹앤롤!!
@user-mb7gf1nk8x,마음을 울리는.. 영혼을 울리는 목소리..
@user-io2np6ki7d,가끔 들으러 오는데 들을때마다 소름이 돋네
@user-gp6hp6go5v,왜 그렇게 멋짐
@user-hg9no9cg5h,개인적으로 커버중에 탑인듯 마지막 배철수 형님 얼굴이 모든걸 말해주는듯
@cyka6767,"Never heard a much better cover than this, no lie ive replayed this about 10x times now and im not bored at all, love you jannabi, the vocal top notch"
@boncarrillo,been a coldplay fan but i never appreciated the song only just now and it amazes me how they simplified d arrangement well i hope i can someday watch this band play
@user-rc7mi6uw2f,어떻게 노래로 감동을 줄수있는지 이게 바로 잔나비만이 가지고 있는 힘인것같네   항상 응원할께요 꽃길만 걸어요
@jannabilover0,노래가 끝난후 배철수님의 표정이 너무 와닿는다..ㅠㅠ
@user-sn7yq3eg4y,그냥 이 영상이 영화의 한 명장면 같음
@user-lg5jg5tr1j,와..진짜진짜...진짜눈물날정도로 좋다.. 잔나비다시봤어요 최고다진짜
@bbypinkcherry,dude this is so good. i freaking love coldplay so much since i was 11 and i can say this is an amazing cover. it’s hard to cover their songs and do it well and this was perfect
@awayup7814,잔나비 신물을 바야됨ㅠㅠㅠㅠㅠㅠㅠ잔나비 공연직접보면 얼마나 재밌는디ㅠㅠㅠㅠㅠㅠ보고싶다 잔나비 최고
@93kg,They made the song theirs while keeping coldplay's essence!
